"";"titulo";"nome";"desc";"cargo_deleg";"org";"org_detalhe";"cargo_org";"conf";"pais";"nline";"fonte";"id_org_dupla"
"48";"Mr.";"Egon Krakhecke";"Secretary for Extrativism and Sustainable Rural Development
Ministry of Environment";NA;"MMA";"Secretaria de Extrativismo e Desenvolvimento Rural Sustentável";"Secretário";"ICCD, COP09";"Brasil";3;"Lista ONU";3267
"49";"Sr.";"Valdemar Rodriguez";"Correspondiente de CST
Ministerio del Medio Ambiente";NA;"MMA";"Correspondente de CST";NA;"ICCD, COP09";"Brasil";6;"Lista ONU";3268
"50";"Mr.";"Fernando Antonio Lyrio Silva";"Head
International Relations Office
Ministry of Environment";NA;"MMA";"Assessoria de Assuntos Internacionais";"Chefe";"ICCD, COP09";"Brasil";10;"Lista ONU";3269
"51";"Sr.";"José Roberto de Lima";"Coordenador Técnico
Secretaria de Extrativismo e Desenvolvimento Rural Sustentavel
Ministerio del Medio Ambiente";NA;"MMA";"Secretaria de Extrativismo e Desenvolvimento Rural Sustentável";"Coordenador Técnico";"ICCD, COP09";"Brasil";11;"Lista ONU";3267
"52";"Mr.";"Carlos Roberto de Carvalho Fonseca";"International Issues Advisor
Ministry of Environment";NA;"MMA";"Assessoria de Assuntos Internacionais";"Assessor";"ICCD, COP09";"Brasil";12;"Lista ONU";3269
"53";"Mr.";"Ronaldo Dias Vianna Lima";"Ministry of Environment";NA;"MMA";NA;NA;"ICCD, COP09";"Brasil";19;"Lista ONU";3260
"54";"Mr.";"Heloiso Bueno Figueiredo";"Department of Environmental Management
Ministry of Environment";NA;"MMA";"Departamento de Gestão Ambiental";NA;"UNFCCC, INC11";"Brasil";4;"Lista ONU";3270
"55";"MSC";"Antonio C. N. Pedro";"Chefe da delegação
MSC - MRE";"Chefe";"MRE";NA;"Ministro de Segunda Classe";"POPS, COP02";"Brasil";1;"Resposta via LAI";3271
"56";"Secretário";"Breno Hermann";"MRE";NA;"MRE";NA;"Secretário";"POPS, COP02";"Brasil";2;"Resposta via LAI";3271
"57";"Secretária";"Regiane de Melo";"MRE";NA;"MRE";NA;"Secretária";"POPS, COP02";"Brasil";3;"Resposta via LAI";3271
"58";NA;"Affonso Emilio de Alencastro Massot";"Nome não está explícito, mas assume-se pelo texto do telegrama que se trata do chefe da Brasemb Haia (destinatário do texto): """"Nesse sentido, muito agradeceria a Vossa Excelência chefiar a delegação brasileira, que será composta, ainda, dos seguintes delegados""""
Pelo repositório de chefes de delegação da FUNAG, nota-se que o chefe do período entre 1999 e 2003 era Massot.";NA;"MRE";"Embaixada do Brasil em Haia";"Embaixador";"CBD, COP06";"Brasil";1;"Telegrama via LAI";3272
"59";"Conselheira";"Mitzi Gurgel Valente da Costa";"Chefe da DEMA/MRE";NA;"MRE";"DEMA";"Conselheira; Chefe da divisão";"CBD, COP06";"Brasil";3;"Telegrama via LAI";3273
"60";"Secretária";"Maria Angélica Ikeda";"DEMA/MRE";NA;"MRE";"DEMA";"Secretária";"CBD, COP06";"Brasil";4;"Telegrama via LAI";3273
"61";"Mr.";"Antonio José Vallim Guerreiro";"Director-General
Department of Special Themes
Ministry of External Relations";NA;"MRE";"Departamento de Temas Especiais";"Diretor geral";"ICCD, COP04";"Brasil";2;"Lista ONU";3274
"62";"Mr.";"Fábio Vaz Pitaluga";"Second Secretary
Environment Division
Ministry of External Relations";NA;"MRE";"DEMA";"Segundo Secretário";"ICCD, COP04";"Brasil";5;"Lista ONU";3273
"63";"Mr.";"Leonardo Mourão Coelho de Souza";"Second Secretary
Embassy of Brazil to Germany";NA;"MRE";"Embaixada do Brasil na Alemanha";"Segundo Secretário";"ICCD, COP04";"Brasil";6;"Lista ONU";3275
"64";"Ms.";"Mitzi Gurgel Valente da Costa";"Chief of Division
Environment Division
Ministry of Foreign Relations";NA;"MRE";"DEMA";"Chefe de divisão";"ICCD, COP06";"Brasil";2;"Lista ONU";3273
"65";"H.E. Mr.";"Tilden Santiago";"Ambassador
Embassy of Brazil, Cuba";NA;"MRE";"Embaixada do Brasil em Cuba";"Embaixador";"ICCD, COP06";"Brasil";3;"Lista ONU";3276
"66";"Mr.";"João Mauricio Cabral de Mello";"Environment Division
Ministry of Foreign Relations";NA;"MRE";"DEMA";NA;"ICCD, COP06";"Brasil";6;"Lista ONU";3273
"67";"Sr.";"Pedro Etchebarne";"Jefe de Sector Politico, Consular y Cultural
Embajada de Brasil, Cuba";NA;"MRE";"Embaixada de Brasil em Cuba; Setor Político, Consular e Cultural";"Chefe";"ICCD, COP06";"Brasil";9;"Lista ONU";3277
"68";"H.E. Mr.";"Antonio José Rezende de Castro";"Permanent Representative
Permanent Mission of Brazil to UNEP, Kenya";NA;"MRE";"Missão Permanente do Brasil junto ao PNUMA, Quênia";"Representante permanente";"ICCD, COP07";"Brasil";1;"Lista ONU";3278
"69";"Mr.";"Pedro de Castro da Cunha e Menezes";"Deputy Permanent Representative
Permanent Mission of Brazil to UNEP, Kenya";NA;"MRE";"Missão Permanente do Brasil junto ao PNUMA, Quênia";"Vice representante permanente";"ICCD, COP07";"Brasil";5;"Lista ONU";3278
"70";"Mr.";"André Costa Misi";"Third Secretary
Assistant to the Environment Division
Ministry of Foreign Affairs";NA;"MRE";"DEMA";"Assistente da divisão; Terceiro secretário";"ICCD, COP07";"Brasil";6;"Lista ONU";3273
"71";"H.E. Mr.";"Fernando Estellita Lins de Salvo Coimbra";"Minister
Ministry of External Relations";NA;"MRE";NA;"Ministro";"ICCD, COP09";"Brasil";2;"Lista ONU";3271
"72";"Mr.";"Carlos Moscardo de Souza";"Secretary
Division of the Environment
Ministry of Foreign Relations";NA;"MRE";"DEMA";"Secretário";"ICCD, COP09";"Brasil";4;"Lista ONU";3273
"73";"Mr.";"Gustavo de Britto Pacheco Freire";"Environment Division
Ministry of External Relations";NA;"MRE";"DEMA";NA;"ICCD, COP09";"Brasil";5;"Lista ONU";3273
"74";"Sr.";"Felipe Rodrigues Gomes Ferreira";"Secretario
Embajada de Brasil, Buenos Aires";NA;"MRE";"Embaixada do Brasil em Buenos Aires";"Secretário";"ICCD, COP09";"Brasil";7;"Lista ONU";3279
"75";"Sra.";"Ana Paula de Almeida Kobe";"Secretario
Embajada de Brasil, Buenos Aires";NA;"MRE";"Embaixada do Brasil em Buenos Aires";"Secretário";"ICCD, COP09";"Brasil";8;"Lista ONU";3279
"76";"Sr.";"Ricardo Morais Barros";"Secretario
Embajada de Brasil, Buenos Aires";NA;"MRE";"Embaixada do Brasil em Buenos Aires";"Secretário";"ICCD, COP09";"Brasil";9;"Lista ONU";3279
"77";"H.E. Mr.";"Marcelo Raffaelli";"Representative
Minister, Brazilian Embassy, London";"Representative";"MRE";"Embaixada do Brasil em Londres";"Ministro";"MARPOL, CONF";"Brasil";1;"Lista ONU";3280
"78";"Mr.";"F. A. de Oliveira Santos Fontoura";"Alternate
First Secretary";"Alternate";"MRE";NA;"Primeiro secretário";"MARPOL, CONF";"Brasil";2;"Lista ONU";3271
"79";"Mr.";"C. M. Garcia";"Alternate
Second Secretary, Brazilian Embassy, London";"Alternate";"MRE";"Embaixada do Brasil em Londres";"Segundo Secretário";"MARPOL, CONF";"Brasil";5;"Lista ONU";3280
"80";"Mr.";"Antonio Otávio de Sá Ricarte";"Second Secretary
Permanent Mission to the United Nations Office at Geneva";NA;"MRE";"Missão Permanente em Genebra";"Segundo secretário";"UNFCCC, INC10";"Brasil";5;"Lista ONU";3281
"81";"Ms.";"Maria Feliciana Ortigão";"Division of Environment
Ministry of Foreign Affairs";NA;"MRE";"DEMA";NA;"UNFCCC, INC10";"Brasil";6;"Lista ONU";3273
"82";"Mr.";"Antonio F. Cruz de Mello";"Counsellor
Permanent Mission of Brazil to the United Nations, New York";NA;"MRE";"Missão Permanente em Nova Iorque";"Conselheiro";"UNFCCC, INC11";"Brasil";2;"Lista ONU";3282
"83";"Mr.";"Everton Frask Lucero";"Secretary
Division of the Environment
Ministry of Foreign Affairs";NA;"MRE";"DEMA";"Secretário";"UNFCCC, INC11";"Brasil";5;"Lista ONU";3273
