"ano";"id_org_unica";"dotacao_atual_total";"pago_total";"dotacao_atual_invest";"pago_invest";"servidores_superior";"servidores_naosup";"forca_trabalho";"org_limpo"
2003;430;0;0;0;0;NA;NA;NA;"Ministério da Pesca e Aquicultura"
2003;431;1,16e+17;1,13e+18;57218489;4615762;493;551;40254;"Ministério da Previdência Social"
2003;432;31173255487;28219878370;1427164743;173163772;41529;65395;105238;"Ministério da Saúde"
2003;433;10249794686;4998084876;3764895480;270436126;1142;1704;207;"Ministério das Cidades"
2003;434;2038887405;958070891;55156044;10274925;223;305;1685;"Ministério das Comunicações"
2003;435;1333866967;1252837526;12776090;8734581;2038;1010;2917;"Ministério das Relações Exteriores"
2003;436;2907750529;1316499572;134712642;10457923;1258;928;2022;"Ministério de Minas e Energia"
2003;437;2305761190;1358452786;256995710;40435644;73;88;5243;"Ministério do Desenvolvimento Agrário"
2003;438;5743362676;5352895289;111591173;769403;159;117;NA;"Ministério do Desenvolvimento Social e Combate à Fome"
2003;439;1382960806;821117696;106148859;37629719;NA;NA;2293;"Ministério do Desenvolvimento, Indústria e Comércio Exterior"
2003;440;380229032;65624292;252700940;20281048;91;128;209;"Ministério do Esporte"
2003;442;1503793146;791445235;258749636;17395264;3202;4112;7242;"Ministério do Meio Ambiente"
2003;444;1770568831;1565103346;10892509;2323477;2761;2883;14259;"Ministério do Planejamento, Orçamento e Gestão"
2003;445;21698290775;17076014075;31271876;13927036;4317;2753;7221;"Ministério do Trabalho e Emprego"
2003;446;377764313;87628267;216778500;6978410;1280;1127;286;"Ministério do Turismo"
2003;523;2851600354;1634784738;157207854;49057455;7105;4319;3744;"Presidência da República"
2003;551;0;0;0;0;NA;NA;NA;"Secretaria de Assuntos Estratégicos"
2003;552;0;0;0;0;NA;NA;NA;"Secretaria de Aviação Civil"
2003;557;0;0;0;0;NA;NA;NA;"Secretaria de Políticas de Promoção da Igualdade Racial"
2003;561;0;0;0;0;NA;NA;NA;"Secretaria Especial de Direitos Humanos"
2003;562;0;0;0;0;NA;NA;NA;"Secretaria Especial de Políticas para as Mulheres"
2003;564;0;0;0;0;NA;NA;NA;"Secretaria Nacional de Portos"
2003;658;4581769;3774621;210000;11727;NA;NA;NA;"Vice-Presidência da República"
2003;700;11546308895;3359051408;3091957985;370670727;1974;2050;NA;"Ministério da Infra-Estrutura"
2003;750;0;0;0;0;NA;NA;NA;"Ministério da Mulher, da Família e dos Direitos Humanos"
2003;751;0;0;0;0;NA;NA;NA;"Secretaria Especial da Micro e Pequena Empresa"
2003;752;0;0;0;0;NA;NA;NA;"Ministério da Segurança Pública"
2004;27;855679261;796558509;14598576;1205468;NA;NA;7382;"AGU - Advocacia Geral da União"
2004;176;0;0;0;0;NA;NA;NA;"Controladoria Geral da União"
2004;421;7049187846;3085177051;201993657;47231993;7038;9956;11373;"Ministério da Agricultura, Pecuária e Abastecimento"
