nome_org_original;org_limpo;id_org_unica;estr_intl;ano
Ministério da Educação;Ministério da Educação;426;1;2003
Ministério da Fazenda;Ministério da Fazenda;427;1;2003
Ministério da Integração Nacional;Ministério da Integração Nacional;428;0;2003
Ministério da Justiça;Ministério da Justiça;429;1;2003
Ministério da Justiça;Ministério da Justiça;429;1;2003
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2003
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2003
Ministério da Previdência Social;Ministério da Previdência Social;431;0;2003
Ministério da Saúde;Ministério da Saúde;432;1;2003
Ministério das Cidades;Ministério das Cidades;433;1;2003
Ministério das Comunicações;Ministério das Comunicações;434;0;2003
Ministério das Relações Exteriores;Ministério das Relações Exteriores;435;1;2003
Ministério de Minas e Energia;Ministério de Minas e Energia;436;0;2003
Ministério do Desenvolvimento Agrário;Ministério do Desenvolvimento Agrário;437;1;2003
Gabinete do Ministro de Estado Extraordinário de Segurança Alimentar e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;0;2003
Gabinete do Ministro de Estado Extraordinário de Segurança Alimentar e Combate à Fome;Ministério do Desenvolvimento Social e Combate à Fome;438;0;2003
Ministério da Assistência e Promoção Social;Ministério do Desenvolvimento Social e Combate à Fome;438;1;2003
Ministério do Desenvolvimento, Indústria e Comércio Exterior;Ministério do Desenvolvimento, Indústria e Comércio Exterior;439;1;2003
Ministério do Esporte;Ministério do Esporte;440;1;2003
Ministério do Meio Ambiente;Ministério do Meio Ambiente;442;0;2003
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2003
Ministério do Planejamento, Orçamento e Gestão;Ministério do Planejamento, Orçamento e Gestão;444;1;2003
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;1;2003
Ministério do Trabalho e Emprego;Ministério do Trabalho e Emprego;445;1;2003
Ministério do Turismo;Ministério do Turismo;446;1;2003
Ministério dos Transportes;Ministério dos Transportes;447;1;2003
Assessoria Especial do Presidente da República;Presidência da República;523;1;2003
Gabinete Pessoal do Presidente da República;Presidência da República;523;0;2003
Secretaria de Comunicação de Governo e Gestão Estratégica da Presidência da República;Secretaria de Comunicação Social da Presidência;554;0;2003
Secretaria Especial de Políticas de Promoção da Igualdade Racial da Presidência da República;Secretaria de Políticas de Promoção da Igualdade Racial;557;0;2003
Secretaria Especial de Aqüicultura e Pesca da Presidência da República;Secretaria Especial de Aquicultura e Pesca;560;0;2003
Secretaria Especial dos Direitos Humanos da Presidência da República;Secretaria Especial de Direitos Humanos;561;0;2003
Secretaria Especial de Políticas para as Mulheres da Presidência da República;Secretaria Especial de Políticas para as Mulheres;562;0;2003
Secretaria-Geral da Presidência da República;Secretaria Geral da Presidência da República;563;0;2003
Vice-Presidência da República;Vice-Presidência da República;658;0;2003
Porta-Voz da Presidência da República;;;0;2003
Secretaria de Imprensa e Divulgação da Presidência da República;;;0;2003
Secretaria Especial do Conselho de Desenvolvimento Econômico e Social da Presidência da República;;;0;2003
Casa Civil da Presidência da República;Casa Civil da Presidência da República;106;0;2004
Gabinete de Segurança Institucional da Presidência da República;Gabinete de Segurança Institucional da Presidência;304;0;2004
Ministério da Ciência e Tecnologia;Ministério da Ciência e Tecnologia;422;1;2004
Ministério da Cultura;Ministério da Cultura;423;0;2004
Ministério da Defesa;Ministério da Defesa;424;1;2004
Ministério da Educação;Ministério da Educação;426;1;2004
Ministério da Fazenda;Ministério da Fazenda;427;1;2004
Ministério da Justiça;Ministério da Justiça;429;1;2004
