"id_org_unica";"ano";"part_count";"part_binaria";"org_limpo"
422;1970;0;0;"Ministério da Ciência e Tecnologia"
422;1971;0;0;"Ministério da Ciência e Tecnologia"
422;1972;0;0;"Ministério da Ciência e Tecnologia"
422;1973;0;0;"Ministério da Ciência e Tecnologia"
422;1974;0;0;"Ministério da Ciência e Tecnologia"
422;1975;0;0;"Ministério da Ciência e Tecnologia"
422;1976;0;0;"Ministério da Ciência e Tecnologia"
422;1977;0;0;"Ministério da Ciência e Tecnologia"
422;1978;0;0;"Ministério da Ciência e Tecnologia"
422;1979;0;0;"Ministério da Ciência e Tecnologia"
422;1980;0;0;"Ministério da Ciência e Tecnologia"
422;1981;0;0;"Ministério da Ciência e Tecnologia"
422;1982;0;0;"Ministério da Ciência e Tecnologia"
422;1983;0;0;"Ministério da Ciência e Tecnologia"
422;1984;0;0;"Ministério da Ciência e Tecnologia"
422;1985;0;0;"Ministério da Ciência e Tecnologia"
422;1986;0;0;"Ministério da Ciência e Tecnologia"
422;1987;0;0;"Ministério da Ciência e Tecnologia"
422;1988;0;0;"Ministério da Ciência e Tecnologia"
422;1989;0;0;"Ministério da Ciência e Tecnologia"
422;1990;1;1;"Ministério da Ciência e Tecnologia"
422;1991;0;0;"Ministério da Ciência e Tecnologia"
422;1992;0;0;"Ministério da Ciência e Tecnologia"
422;1993;0;0;"Ministério da Ciência e Tecnologia"
422;1994;3;1;"Ministério da Ciência e Tecnologia"
422;1995;5;1;"Ministério da Ciência e Tecnologia"
422;1996;1;1;"Ministério da Ciência e Tecnologia"
422;1997;4;1;"Ministério da Ciência e Tecnologia"
422;1998;9;1;"Ministério da Ciência e Tecnologia"
422;1999;9;1;"Ministério da Ciência e Tecnologia"
422;2000;12;1;"Ministério da Ciência e Tecnologia"
422;2001;21;1;"Ministério da Ciência e Tecnologia"
422;2002;12;1;"Ministério da Ciência e Tecnologia"
422;2003;6;1;"Ministério da Ciência e Tecnologia"
422;2004;22;1;"Ministério da Ciência e Tecnologia"
422;2005;11;1;"Ministério da Ciência e Tecnologia"
422;2006;17;1;"Ministério da Ciência e Tecnologia"
422;2007;6;1;"Ministério da Ciência e Tecnologia"
422;2008;10;1;"Ministério da Ciência e Tecnologia"
422;2009;19;1;"Ministério da Ciência e Tecnologia"
422;2010;13;1;"Ministério da Ciência e Tecnologia"
422;2011;4;1;"Ministério da Ciência e Tecnologia"
422;2012;15;1;"Ministério da Ciência e Tecnologia"
422;2013;5;1;"Ministério da Ciência e Tecnologia"
422;2014;7;1;"Ministério da Ciência e Tecnologia"
422;2015;10;1;"Ministério da Ciência e Tecnologia"
422;2016;5;1;"Ministério da Ciência e Tecnologia"
422;2017;9;1;"Ministério da Ciência e Tecnologia"
422;2018;9;1;"Ministério da Ciência e Tecnologia"
422;2019;5;1;"Ministério da Ciência e Tecnologia"
