id_org_ano;id_org_unica;ano;org_limpo;part_count;part_binaria;existencia;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest;servidores_superior;servidores_naosup;forca_trabalho_bep
1999439;439;1999;Ministério do Desenvolvimento, Indústria e Comércio Exterior;1;1;1;NA;NA;NA;NA;399;361;2580
2000439;439;2000;Ministério do Desenvolvimento, Indústria e Comércio Exterior;1;1;1;1053050906;319946968;136880720;17432420;352;331;2260
2001439;439;2001;Ministério do Desenvolvimento, Indústria e Comércio Exterior;1;1;1;1246706448;621586369;195026726;32822166;430;314;2436
2002439;439;2002;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;1338906032;860664221;128065461;20948818;420;262;2401
2003439;439;2003;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;1382960806;821117696;106148859;37629719;451;253;2293
2004439;439;2004;Ministério do Desenvolvimento, Indústria e Comércio Exterior;3;1;1;1115667780;621395914;183576127;65435002;439;249;2338
2005439;439;2005;Ministério do Desenvolvimento, Indústria e Comércio Exterior;3;1;1;1034899948;659861698;156622796;33756980;443;242;2328
2006439;439;2006;Ministério do Desenvolvimento, Indústria e Comércio Exterior;2;1;1;1115960071;715664519;107334894;34712827;509;257;2641
2007439;439;2007;Ministério do Desenvolvimento, Indústria e Comércio Exterior;2;1;1;1403307533;1050886968;218757102;168281761;490;244;2677
2008439;439;2008;Ministério do Desenvolvimento, Indústria e Comércio Exterior;5;1;1;1407302149;865072532;196170723;25290533;439;218;2780
2009439;439;2009;Ministério do Desenvolvimento, Indústria e Comércio Exterior;2;1;1;1774756062;1031792580;245653041;18410831;466;205;2776
2010439;439;2010;Ministério do Desenvolvimento, Indústria e Comércio Exterior;2;1;1;1877270445;1153085920;300588571;25717671;585;288;3112
2011439;439;2011;Ministério do Desenvolvimento, Indústria e Comércio Exterior;1;1;1;1942743064;1223741295;71888039;23198521;557;283;3163
2012439;439;2012;Ministério do Desenvolvimento, Indústria e Comércio Exterior;6;1;1;3552213656;1476122794;265761544;53510466;523;253;3159
2013439;439;2013;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;2851910391;1484954210;241943850;58294114;601;209;3244
2014439;439;2014;Ministério do Desenvolvimento, Indústria e Comércio Exterior;1;1;1;2827574436;1650566872;174909022;35272446;695;201;3410
2015439;439;2015;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;3352701600;1800639382;282283025;7254664;676;181;3236
2016439;439;2016;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;3080638022;1715761515;249726809;7489654;654;159;3190
2017439;439;2017;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;1;2715816968;1779400105;73625277;15900523;842;215;NA
2018439;439;2018;Ministério do Desenvolvimento, Indústria e Comércio Exterior;2;1;1;2786751355;2175360088;42285800;9118716;677;152;NA
2019439;439;2019;Ministério do Desenvolvimento, Indústria e Comércio Exterior;0;0;0;NA;NA;NA;NA;NA;NA;NA
1997523;523;1997;Presidência da República;0;0;1;NA;NA;NA;NA;NA;NA;5370
1998523;523;1998;Presidência da República;0;0;1;NA;NA;NA;NA;NA;NA;5401
1999523;523;1999;Presidência da República;0;0;1;NA;NA;NA;NA;2695;4388;2519
2000523;523;2000;Presidência da República;0;0;1;1520867097;486218147;978435068;59830125;3752;5895;3318
2001523;523;2001;Presidência da República;0;0;1;2192974729;805246544;1376962755;201401558;5960;4188;3284
2002523;523;2002;Presidência da República;35;1;1;2211227130;838878311;1254777449;111030791;5610;3107;3147
2003523;523;2003;Presidência da República;0;0;1;2851600354;1634784738;157207854;49057455;7105;4319;3744
2004523;523;2004;Presidência da República;0;0;1;1403700353;1057889252;136576458;46607338;10792;4445;3767
2005523;523;2005;Presidência da República;0;0;1;1989928006;1389464515;156233201;46185538;11499;4658;4222
2006523;523;2006;Presidência da República;0;0;1;2034254444;1539666515;122619354;43843492;12459;4750;4875
2007523;523;2007;Presidência da República;0;0;1;3124034400;1870432636;563753539;111269694;13207;4997;5697
