"";"ano";"orgao_superior";"servidores_superior";"servidores_naosup"
"357";"2006";"Instituto Federal Farroupilha";131;86
"358";"2006";"Instituto Federal Fluminense";552;169
"359";"2006";"Instituto Federal Goiano";286;162
"360";"2006";"Minist. Da Justica E Seguranca Publica";14949;12948
"361";"2006";"Minist.Da Agricultura,Pecuaria E Abast.";8021;9961
"362";"2006";"Ministerio Ciencia Tec.Inov.Comunicacoes";3217;1024
"363";"2006";"Ministerio Da Cidadania";375;189
"364";"2006";"Ministerio Da Cultura";281;250
"365";"2006";"Ministerio Da Defesa";9782;18489
"366";"2006";"Ministerio Da Economia";57268;47009
"367";"2006";"Ministerio Da Educacao";109133;59270
"368";"2006";"Ministerio Da Infraestrutura";2866;3047
"369";"2006";"Ministerio Da Previdencia Social";1845;1081
"370";"2006";"Ministerio Da Saude";45402;64493
"371";"2006";"Ministerio Das Cidades";302;132
"372";"2006";"Ministerio Das Comunicacoes";301;317
"373";"2006";"Ministerio Das Relacoes Exteriores";2349;994
"374";"2006";"Ministerio De Minas E Energia";1758;1066
"375";"2006";"Ministerio Do Desenvolvimento Agrario";150;154
"376";"2006";"Ministerio Do Desenvolvimento Regional";1301;1658
"377";"2006";"Ministerio Do Esporte";100;125
"378";"2006";"Ministerio Do Meio Ambiente";4274;4193
"379";"2006";"Ministerio Do Planej. Desenv. E Gestao";2909;2051
"380";"2006";"Ministerio Do Trabalho E Emprego";4373;2517
"381";"2006";"Ministerio Do Turismo";1810;1122
"382";"2006";"Ministerio Ind. Com. Exterior E Serviços";509;257
"383";"2006";"Presidencia Da Republica";12459;4750
"384";"2007";"Conselho Nac.De Desen.Cien.E Tecnologico";533;198
"385";"2007";"Instituto Fed. Do Norte De Minas Gerais";199;127
"386";"2007";"Instituto Fed.Do Sudeste De Minas Gerais";270;118
"387";"2007";"Instituto Federal Baiano";206;136
"388";"2007";"Instituto Federal Catarinense";218;102
"389";"2007";"Instituto Federal Da Paraiba";626;173
"390";"2007";"Instituto Federal De Alagoas";541;157
"391";"2007";"Instituto Federal De Mato Grosso";494;153
"392";"2007";"Instituto Federal De Minas Gerais";497;248
"393";"2007";"Instituto Federal De Pernambuco";836;283
"394";"2007";"Instituto Federal De Rondonia";69;34
"395";"2007";"Instituto Federal De Sergipe";354;151
"396";"2007";"Instituto Federal Do Amazonas";543;148
"397";"2007";"Instituto Federal Do Ceara";742;214
"398";"2007";"Instituto Federal Do Espirito Santo";1005;312
"399";"2007";"Instituto Federal Do Maranhao";601;218
"400";"2007";"Instituto Federal Do Para";490;180
"401";"2007";"Instituto Federal Do Rio Grande Do Sul";148;94
"402";"2007";"Instituto Federal Do Sul De Minas Gerais";258;129
"403";"2007";"Instituto Federal Do Tocantins";257;106
"404";"2007";"Instituto Federal Do Triangulo Mineiro";194;90
"405";"2007";"Instituto Federal Farroupilha";137;83
"406";"2007";"Instituto Federal Fluminense";600;185
"407";"2007";"Instituto Federal Goiano";322;172
"408";"2007";"Minist. Da Justica E Seguranca Publica";15921;12387
"409";"2007";"Minist.Da Agricultura,Pecuaria E Abast.";8413;9737
"410";"2007";"Ministerio Ciencia Tec.Inov.Comunicacoes";3320;934
"411";"2007";"Ministerio Da Cidadania";434;205
"412";"2007";"Ministerio Da Cultura";292;255
"413";"2007";"Ministerio Da Defesa";9356;17538
"414";"2007";"Ministerio Da Economia";58123;45773
"415";"2007";"Ministerio Da Educacao";111309;57864
"416";"2007";"Ministerio Da Infraestrutura";3393;3203
"417";"2007";"Ministerio Da Previdencia Social";797;616
"418";"2007";"Ministerio Da Saude";44533;62504
"419";"2007";"Ministerio Das Cidades";288;136
"420";"2007";"Ministerio Das Comunicacoes";297;310
"421";"2007";"Ministerio Das Relacoes Exteriores";2479;965
"422";"2007";"Ministerio De Minas E Energia";1733;1065
"423";"2007";"Ministerio Do Desenvolvimento Agrario";154;153
"424";"2007";"Ministerio Do Desenvolvimento Regional";1356;1668
"425";"2007";"Ministerio Do Esporte";125;118
"426";"2007";"Ministerio Do Meio Ambiente";4501;4038
"427";"2007";"Ministerio Do Planej. Desenv. E Gestao";2999;2012
"428";"2007";"Ministerio Do Trabalho E Emprego";4671;2435
"429";"2007";"Ministerio Do Turismo";1853;1081
"430";"2007";"Ministerio Ind. Com. Exterior E Serviços";490;244
"431";"2007";"Presidencia Da Republica";13207;4997
"432";"2008";"Conselho Nac.De Desen.Cien.E Tecnologico";524;184
"433";"2008";"Instituto Fed. Do Norte De Minas Gerais";191;133
"434";"2008";"Instituto Fed.Do Sudeste De Minas Gerais";267;127
"435";"2008";"Instituto Federal Baiano";224;135
"436";"2008";"Instituto Federal Catarinense";236;103
"437";"2008";"Instituto Federal Da Paraiba";673;173
"438";"2008";"Instituto Federal De Alagoas";563;159
"439";"2008";"Instituto Federal De Mato Grosso";615;180
"440";"2008";"Instituto Federal De Minas Gerais";537;256
"441";"2008";"Instituto Federal De Pernambuco";879;287
"442";"2008";"Instituto Federal De Rondonia";64;33
"443";"2008";"Instituto Federal De Sergipe";386;154
"444";"2008";"Instituto Federal Do Amazonas";590;135
"445";"2008";"Instituto Federal Do Ceara";775;229
"446";"2008";"Instituto Federal Do Espirito Santo";1126;369
"447";"2008";"Instituto Federal Do Maranhao";724;252
"448";"2008";"Instituto Federal Do Para";600;184
"449";"2008";"Instituto Federal Do Rio Grande Do Sul";254;110
"450";"2008";"Instituto Federal Do Sul De Minas Gerais";283;124
"451";"2008";"Instituto Federal Do Tocantins";312;113
"452";"2008";"Instituto Federal Do Triangulo Mineiro";225;94
"453";"2008";"Instituto Federal Farroupilha";200;104
"454";"2008";"Instituto Federal Fluminense";673;206
"455";"2008";"Instituto Federal Goiano";373;184
"456";"2008";"Minist. Da Justica E Seguranca Publica";16759;11839
"457";"2008";"Minist.Da Agricultura,Pecuaria E Abast.";8785;9567
"458";"2008";"Ministerio Ciencia Tec.Inov.Comunicacoes";3244;902
"459";"2008";"Ministerio Da Cidadania";466;211
"460";"2008";"Ministerio Da Cultura";299;243
"461";"2008";"Ministerio Da Defesa";9260;16991
"462";"2008";"Ministerio Da Economia";58777;45868
"463";"2008";"Ministerio Da Educacao";118517;56950
"464";"2008";"Ministerio Da Infraestrutura";3723;3054
"465";"2008";"Ministerio Da Previdencia Social";829;604
"466";"2008";"Ministerio Da Saude";44221;62176
"467";"2008";"Ministerio Das Cidades";347;124
"468";"2008";"Ministerio Das Comunicacoes";299;311
"469";"2008";"Ministerio Das Relacoes Exteriores";2585;986
"470";"2008";"Ministerio De Minas E Energia";2029;1081
"471";"2008";"Ministerio Do Desenvolvimento Agrario";168;138
"472";"2008";"Ministerio Do Desenvolvimento Regional";1421;1646
"473";"2008";"Ministerio Do Esporte";130;117
"474";"2008";"Ministerio Do Meio Ambiente";4554;4972
"475";"2008";"Ministerio Do Planej. Desenv. E Gestao";3032;1972
"476";"2008";"Ministerio Do Trabalho E Emprego";4637;2308
"477";"2008";"Ministerio Do Turismo";1871;1056
"478";"2008";"Ministerio Ind. Com. Exterior E Serviços";439;218
"479";"2008";"Presidencia Da Republica";14682;5511
"480";"2009";"Conselho Nac.De Desen.Cien.E Tecnologico";523;173
"481";"2009";"Instituto Fed. Do Norte De Minas Gerais";283;143
"482";"2009";"Instituto Fed.Do Sudeste De Minas Gerais";332;144
