;orgao;ano;dotacao_atual_total;pago_total;dotacao_atual_invest;pago_invest
905;82000 - Ministério da Segurança Pública;2001;NA;NA;NA;NA
906;82000 - Ministério da Segurança Pública;2002;NA;NA;NA;NA
907;82000 - Ministério da Segurança Pública;2003;NA;NA;NA;NA
908;82000 - Ministério da Segurança Pública;2004;NA;NA;NA;NA
909;82000 - Ministério da Segurança Pública;2005;NA;NA;NA;NA
910;82000 - Ministério da Segurança Pública;2006;NA;NA;NA;NA
911;82000 - Ministério da Segurança Pública;2007;NA;NA;NA;NA
912;82000 - Ministério da Segurança Pública;2008;NA;NA;NA;NA
913;82000 - Ministério da Segurança Pública;2009;NA;NA;NA;NA
914;82000 - Ministério da Segurança Pública;2010;NA;NA;NA;NA
915;82000 - Ministério da Segurança Pública;2011;NA;NA;NA;NA
916;82000 - Ministério da Segurança Pública;2012;NA;NA;NA;NA
917;82000 - Ministério da Segurança Pública;2013;NA;NA;NA;NA
918;82000 - Ministério da Segurança Pública;2014;NA;NA;NA;NA
919;82000 - Ministério da Segurança Pública;2015;NA;NA;NA;NA
920;82000 - Ministério da Segurança Pública;2016;NA;NA;NA;NA
921;82000 - Ministério da Segurança Pública;2017;NA;NA;NA;NA
922;82000 - Ministério da Segurança Pública;2018;NA;NA;NA;NA
923;82000 - Ministério da Segurança Pública;2019;0;0;NA;NA
924;82000 - Ministério da Segurança Pública;2020;NA;NA;NA;NA
