Event name,url,Event date,Event type
UNFCCC COP 6 Part II,https://enb.iisd.org/events/unfccc-cop-6-part-ii,16 July 2001 - 27 July 2001,Conference of the Parties (COP)
UNFCCC COP 6,https://enb.iisd.org/events/unfccc-cop-6,13 November 2000 - 25 November 2000,Conference of the Parties (COP)
13th Session of the UNFCCC Subsidiary Bodies (SB 13),https://enb.iisd.org/events/13th-session-unfccc-subsidiary-bodies-sb-13,4 September 2000 - 15 September 2000,Event
12th Session of the UNFCCC Subsidiary Bodies (SB 12),https://enb.iisd.org/events/12th-session-unfccc-subsidiary-bodies-sb-12,5 June 2000 - 16 June 2000,Event
UNFCCC COP 5,https://enb.iisd.org/events/unfccc-cop-5,25 October 1999 - 5 November 1999,Conference of the Parties (COP)
10th Session of the UNFCCC Subsidiary Bodies (SB 10),https://enb.iisd.org/events/10th-session-unfccc-subsidiary-bodies-sb-10,31 May 1999 - 11 June 1999,Event
UNFCCC COP 4,https://enb.iisd.org/events/unfccc-cop-4,2 November 1998 - 13 November 1998,Conference of the Parties (COP)
UNFCCC COP 3,https://enb.iisd.org/events/unfccc-cop-3,1 December 1997 - 11 December 1997,Conference of the Parties (COP)
7th Session of the UNFCCC Subsidiary Bodies (SB 7),https://enb.iisd.org/events/7th-session-unfccc-subsidiary-bodies-sb-7,22 October 1997 - 31 October 1997,Event
6th Session of the UNFCCC Subsidiary Bodies (SB 6),https://enb.iisd.org/events/6th-session-unfccc-subsidiary-bodies-sb-6,28 July 1997 - 5 August 1997,Event
6th Session of the Ad Hoc Group on the Berlin Mandate,https://enb.iisd.org/events/6th-session-ad-hoc-group-berlin-mandate,3 March 1997 - 7 March 1997,Event
5th Session of the UNFCCC Subsidiary Bodies (SB 5),https://enb.iisd.org/events/5th-session-unfccc-subsidiary-bodies-sb-5,25 February 1997 - 28 February 1997,Event
5th Session of the Ad Hoc Group on the Berlin Mandate and 4th Session of the UNFCCC Subsidiary Bodies (SB 4),https://enb.iisd.org/events/5th-session-ad-hoc-group-berlin-mandate-and-4th-session-unfccc-subsidiary-bodies-sb-4,9 December 1996 - 18 December 1996,Event
UNFCCC COP 2,https://enb.iisd.org/events/unfccc-cop-2,8 July 1996 - 19 July 1996,Conference of the Parties (COP)
3rd Session of the Ad Hoc Group on the Berlin Mandate,https://enb.iisd.org/events/3rd-session-ad-hoc-group-berlin-mandate,5 March 1996 - 8 March 1996,Event
2nd Session of the UNFCCC Subsidiary Bodies (SB 2),https://enb.iisd.org/events/2nd-session-unfccc-subsidiary-bodies-sb-2,27 February 1996 - 4 March 1996,Event
1995 Year-end Update on UNFCCCC,https://enb.iisd.org/events/1995-year-end-update-unfcccc,18 December 1995,Event
2nd Session of the Ad Hoc Group on the Berlin Mandate,https://enb.iisd.org/events/2nd-session-ad-hoc-group-berlin-mandate,30 October 1995 - 3 November 1995,Event
1st Session of the UNFCCC Subsidiary Bodies (SB 1),https://enb.iisd.org/events/1st-session-unfccc-subsidiary-bodies-sb-1,28 August 1995 - 1 September 1995,Event
1st Session of the Ad Hoc Group on the Berlin Mandate,https://enb.iisd.org/events/1st-session-ad-hoc-group-berlin-mandate,21 August 1995 - 25 August 1995,Event
UNFCCC COP 1,https://enb.iisd.org/events/unfccc-cop-1,28 March 1995 - 7 April 1995,Conference of the Parties (COP)
11th Session of the Intergovernmental Negotiating Committee for a Framework Convention on Climate Change (INC/FCCC),https://enb.iisd.org/events/11th-session-intergovernmental-negotiating-committee-framework-convention-climate-change,6 February 1995 - 17 February 1995,Event
